Time stamp: 09/13/2011 19:12:07
Program name: C:\CCStudio_v3.3\MyProjects\rnlms\Release\rnlms.out


Tab name: Profiler
Address Range, Symbol Name, SLR, Symbol Type, Access Count, Cycles: Incl. Total, Cycles: Excl. Total, Branches: Incl. Total, Branches: Excl. Total, 
0:0x6040-0x627c, _openfile <TI Library>, 120-186:fopen.c, function, 0, 0, 0, 0, 0, 
0:0xae00-0xae08, _outc <TI Library>, 52-52:printf.c, function, 0, 0, 0, 0, 0, 
0:0xad80-0xad88, _outc <TI Library>, 52-52:fprintf.c, function, 0, 0, 0, 0, 0, 
0:0xad60-0xad68, _outs <TI Library>, 58-58:fprintf.c, function, 0, 0, 0, 0, 0, 
0:0xada0-0xada8, _outs <TI Library>, 58-58:printf.c, function, 0, 0, 0, 0, 0, 
0:0x3a40-0x3dec, _pconv_e <TI Library>, , function, 0, 0, 0, 0, 0, 
0:0x8a80-0x8bc0, _pconv_f <TI Library>, 604-635:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0x5300-0x55ec, _pconv_g <TI Library>, 692-747:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0x5600-0x58e4, _pproc_diouxp <TI Library>, 861-948:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0x7d60-0x7ec0, _pproc_fflags <TI Library>, 212-250:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0x9520-0x9634, _pproc_fge <TI Library>, 560-598:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0x3660-0x3a28, _pproc_fwp <TI Library>, 263-339:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0x48e0-0x4c58, _pproc_str <TI Library>, , function, 0, 0, 0, 0, 0, 
0:0x24a0-0x291c, _printfi <TI Library>, 86-202:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0x9e60-0x9f2c, _rd_ok <TI Library>, 26-57:_io_perm.c, function, 0, 0, 0, 0, 0, 
0:0xa960-0xaa00, _remli <TI Library>, 107-110:imath40.c, function, 0, 0, 0, 0, 0, 
0:0x9b80-0x9c80, _search_fp <TI Library>, 87-108:fopen.c, function, 0, 0, 0, 0, 0, 
0:0x1520-0x1ac0, _setfield <TI Library>, 416-548:_printfi.c, function, 0, 0, 0, 0, 0, 
0:0xac80-0xacd4, _subcull <TI Library>, 34-43:imath64.c, function, 0, 0, 0, 0, 0, 
0:0x9400-0x9520, _wrt_ok <TI Library>, 69-105:_io_perm.c, function, 0, 0, 0, 0, 0, 
0:0xad20-0xad2c, abort <TI Library>, 69-79:exit.c, function, 0, 0, 0, 0, 0, 
0:0x8800-0x8938, atoi <TI Library>, 8-28:atoi.c, function, 0, 0, 0, 0, 0, 
0:0x224-0x2e0, calc_norma, 72-83:rnlms.c, function, 0, 0, 0, 0, 0, 
0:0x8bc0-0x8cf4, close <TI Library>, 323-346:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0x7380-0x7400, convert_from_NUM_to_int16, 21-21:utils.c, function, 0, 0, 0, 0, 0, 
0:0x7400-0x7480, convert_from_int16_to_NUM, 22-22:utils.c, function, 0, 0, 0, 0, 0, 
0:0x1b2c-0x1c34, convolution_CB_and_CB, 37-49:CircularBuffer.c, function, 0, 0, 0, 0, 0, 
0:0x1c34-0x1dc4, convolution_CB_and_vector, 52-75:CircularBuffer.c, function, 0, 0, 0, 0, 0, 
0:0x2920-0x2d88, ecvt <TI Library>, 10-70:ecvt.c, function, 0, 0, 0, 0, 0, 
0:0x86c0-0x87e8, exit <TI Library>, 18-46:exit.c, function, 0, 0, 0, 0, 0, 
0:0x7c00-0x7d5c, fclose <TI Library>, 26-75:fclose.c, function, 0, 0, 0, 0, 0, 
0:0x2020-0x2488, fcvt <TI Library>, 11-78:fcvt.c, function, 0, 0, 0, 0, 0, 
0:0xad40-0xad54, feof <TI Library>, 13-13:feof.c, function, 0, 0, 0, 0, 0, 
0:0x8580-0x86b4, fflush <TI Library>, 30-55:fflush.c, function, 0, 0, 0, 0, 0, 
0:0x1e4-0x224, filter_output, 55-69:rnlms.c, function, 0, 0, 0, 0, 0, 
0:0xa2a0-0xa350, finddevice <TI Library>, 97-110:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0xa8c0-0xa95c, fopen <TI Library>, 38-50:fopen.c, function, 0, 0, 0, 0, 0, 
0:0xa820-0xa8c0, fprintf <TI Library>, 31-46:fprintf.c, function, 0, 0, 0, 0, 0, 
0:0x77a0-0x7910, fputc <TI Library>, 58-97:fputc.c, function, 0, 0, 0, 0, 0, 
0:0x3e00-0x41bc, fputs <TI Library>, 45-127:fputs.c, function, 0, 0, 0, 0, 0, 
0:0x4560-0x48d8, fread <TI Library>, 29-109:fread.c, function, 0, 0, 0, 0, 0, 
0:0x41c0-0x4558, free <TI Library>, 351-441:memory.c, function, 0, 0, 0, 0, 0, 
0:0x9760-0x9864, frexpf <TI Library>, 14-59:frexpf.c, function, 0, 0, 0, 0, 0, 
0:0x9640-0x975c, fseek <TI Library>, 26-47:fseek.c, function, 0, 0, 0, 0, 0, 
0:0xf20-0x1520, fwrite <TI Library>, 27-166:fwrite.c, function, 0, 0, 0, 0, 0, 
0:0x7120-0x72cc, getdevice <TI Library>, 117-136:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0x2e0-0x370, insert_right, 86-94:rnlms.c, function, 0, 0, 0, 0, 0, 
0:0x7aa0-0x7bec, ldexpf <TI Library>, 14-69:ldexpf.c, function, 0, 0, 0, 0, 0, 
0:0x8180-0x82d4, lseek <TI Library>, 299-317:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0x8e40-0x8f70, ltoa <TI Library>, 8-22:ltoa.c, function, 0, 0, 0, 0, 0, 
0:0xa640-0xa6c8, memccpy <TI Library>, 13-21:memccpy.c, function, 0, 0, 0, 0, 0, 
0:0xaaa0-0xab00, my_sqrtf, 9-13:global.c, function, 0, 0, 0, 0, 0, 
0:0x64c0-0x66f4, open <TI Library>, 209-245:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0xa780-0xa820, printf <TI Library>, 31-46:printf.c, function, 0, 0, 0, 0, 0, 
0:0x7ec0-0x8014, read <TI Library>, 251-269:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0xa4e0-0xa594, readmsg <TI Library>, 106-131:trgmsg.c, function, 0, 0, 0, 0, 0, 
0:0xade0-0xade8, remove <TI Library>, 17-17:remove.c, function, 0, 0, 0, 0, 0, 
0:0x370-0x7fc, rlms_func, 98-144:rnlms.c, function, 0, 0, 0, 0, 0, 
0:0x5b80-0x5de0, setvbuf <TI Library>, 24-85:setvbuf.c, function, 0, 0, 0, 0, 0, 
0:0xaa80-0xaaa0, sqr, 4-7:global.c, function, 0, 0, 0, 0, 0, 
0:0x6d60-0x6f28, sqrtf <TI Library>, 12-82:sqrtf.c, function, 0, 0, 0, 0, 0, 
0:0x9f40-0xa01c, tabinit <TI Library>, 69-90:lowlev.c, function, 0, 0, 0, 0, 0, 
0:0x8d8-0xdf8, testAlgo, 15-134:tester.c, function, 0, 0, 0, 0, 0, 
0:0x800-0x8d8, testBlock, 6-13:tester.c, function, 0, 0, 0, 0, 0, 
0:0xa5a0-0xa638, unlink <TI Library>, 352-369:lowlev.c, function, 0, 0, 0, 0, 0, 
